entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.Tbmuser,Tbmuser,Tbmuser,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,tbmuser,True,ais\action\maintenance\TbmuserAction.java,onEvent|onAddExternal|onDownloadFotoMassal|onUploadFotoMassal,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Tbmuser.java
ais.database.model.asset.PenyediaAsset,PenyediaAsset,Penyedia Asset,ais.database.model.asset,asset,ais.database.model.sop.DataSop,False,True,asset,penyedia_asset,True,ais\action\master\asset\PenyediaAssetAction.java,onJenisPekerjaan|onCheck|onDashboardVendor|onJenisPenyedia|onDokumenPenyedia|onKategoriPenyedia|onStatusPenyedia|onEvent|onAddExternal|onAddExternalDaftar|onCalonVendor,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\asset\PenyediaAsset.java
ais.database.model.file.FileBukuBahanAjar,FileBukuBahanAjar,File Buku Bahan Ajar,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,file_buku_bahan_ajar,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FileBukuBahanAjar.java
ais.database.model.file.FileFoto,FileFoto,File Foto,ais.database.model.file,file,ais.database.model.GeneralValueObject,True,False,,,True,,,EXCLUDED_ABSTRACT,Class abstract,ais\database\model\file\FileFoto.java
ais.database.model.file.FileFotoLain,FileFotoLain,File Foto Lain,ais.database.model.file,file,ais.database.model.file.FileFoto,True,False,,,True,,,EXCLUDED_ABSTRACT,Class abstract,ais\database\model\file\FileFotoLain.java
ais.database.model.file.FotoAdmin,FotoAdmin,Foto Admin,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_admin,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoAdmin.java
ais.database.model.file.FotoBiodataCalonMahasiswa,FotoBiodataCalonMahasiswa,Foto Biodata Calon Mahasiswa,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_biodata_calon_mahasiswa,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoBiodataCalonMahasiswa.java
ais.database.model.file.FotoBiodataMahasiswa,FotoBiodataMahasiswa,Foto Biodata Mahasiswa,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_biodata_mahasiswa,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoBiodataMahasiswa.java
ais.database.model.file.FotoBuktiChecklistLaporan,FotoBuktiChecklistLaporan,Foto Bukti Checklist Laporan,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_bukti_checklist_laporan,True,ais\action\master\rab\FotoBuktiChecklistLaporanAction.java,onEvent|onUploadFile,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\file\FotoBuktiChecklistLaporan.java
ais.database.model.file.FotoBuku,FotoBuku,Foto Buku,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_buku,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoBuku.java
