entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.FormatNilai,FormatNilai,Format Nilai,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,formatnilai,False,ais\action\master\FormatNilaiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\FormatNilai.java
ais.database.model.FormatNilaiProposalSkripsi,FormatNilaiProposalSkripsi,Format Nilai Proposal Skripsi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,format_nilai_proposal_skripsi,False,ais\action\master\FormatNilaiProposalSkripsiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\FormatNilaiProposalSkripsi.java
ais.database.model.FormatNilaiSkripsi,FormatNilaiSkripsi,Format Nilai Skripsi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,format_nilai_skripsi,False,ais\action\master\FormatNilaiSkripsiAction.java,onJenis|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\FormatNilaiSkripsi.java
ais.database.model.FormulirKegiatan,FormulirKegiatan,Formulir Kegiatan,ais.database.model,root,ais.database.model.VOPembelajaran,False,True,public,formulir_kegiatan,False,ais\action\master\FormulirKegiatanAction.java,onGrupFormulirKegiatan|onSertifikat|onJenisFormulirKegiatan|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\FormulirKegiatan.java
ais.database.model.GaleriFoto,GaleriFoto,Galeri Foto,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,galeri_foto,False,ais\action\master\GaleriFotoAction.java|ais\action\master\pmb\GaleriFotoAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GaleriFoto.java
ais.database.model.Gedung,Gedung,Gedung,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,gedung,False,ais\action\master\GedungAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\Gedung.java
ais.database.model.GelombangPendaftaran,GelombangPendaftaran,Gelombang Pendaftaran,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,gelombang_pendaftaran,False,ais\action\master\GelombangPendaftaranAction.java,onKelompok|onVerifikasiKelengkapanBerkas|onPembagianKelas|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GelombangPendaftaran.java
ais.database.model.GelombangPendaftaranSidangTugasAkhir,GelombangPendaftaranSidangTugasAkhir,Gelombang Pendaftaran Sidang Tugas Akhir,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,gelombang_pendaftaran_sidang_tugas_akhir,False,ais\action\master\GelombangPendaftaranSidangTugasAkhirAction.java,onEvent|onAddExternal,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GelombangPendaftaranSidangTugasAkhir.java
ais.database.model.GolonganPns,GolonganPns,Golongan Pns,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,golongan_pns,False,ais\action\master\GolonganPnsAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GolonganPns.java
ais.database.model.GrupChecklistPenilaianDosen,GrupChecklistPenilaianDosen,Grup Checklist Penilaian Dosen,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_checklist_penilaian_dosen,False,ais\action\master\GrupChecklistPenilaianDosenAction.java,onGrupAngketUmum|onGrupKuosioner|onJadwalAngketUmum|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupChecklistPenilaianDosen.java
ais.database.model.GrupChecklistPenilaianUmum,GrupChecklistPenilaianUmum,Grup Checklist Penilaian Umum,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_checklist_penilaian_umum,False,ais\action\master\GrupChecklistPenilaianUmumAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupChecklistPenilaianUmum.java
ais.database.model.GrupFormulirKegiatan,GrupFormulirKegiatan,Grup Formulir Kegiatan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_formulir_kegiatan,False,ais\action\master\GrupFormulirKegiatanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupFormulirKegiatan.java
ais.database.model.GrupJurusan,GrupJurusan,Grup Jurusan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_jurusan,False,ais\action\master\GrupJurusanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupJurusan.java
ais.database.model.GrupKuesionerUmum,GrupKuesionerUmum,Grup Kuesioner Umum,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_kuesioner_umum,False,ais\action\master\GrupKuesionerUmumAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupKuesionerUmum.java
ais.database.model.GrupKuosionerUmumDetail,GrupKuosionerUmumDetail,Grup Kuosioner Umum Detail,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_kuosioner_umum_detail,False,ais\action\master\helper\GrupKuosionerUmumDetailAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupKuosionerUmumDetail.java
ais.database.model.GrupParameterTambahan,GrupParameterTambahan,Grup Parameter Tambahan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,grup_parameter_tambahan,False,ais\action\master\GrupParameterTambahanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupParameterTambahan.java
ais.database.model.GrupPertemuan,GrupPertemuan,Grup Pertemuan,ais.database.model,root,ais.database.model.VOPembelajaran,False,True,public,grup_pertemuan,False,ais\action\master\GrupPertemuanAction.java,onSejarah|onTampilJenisLayanan|onTampilGrupPertemuan|onTugasAkhir|onSidang|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\GrupPertemuan.java
